Country/Region,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country/Region (group)
Turkey,0.7,5.7,2.3,1.9,1.7,2.1,2.6,3.0,14.1,65.8,Europe
US,1.1,5.3,4.4,5.1,11.7,8.9,7.3,11.6,26.8,17.7,Americas
Uganda,0.2,0.1,1.2,1.7,1.0,6.5,18.6,15.7,28.7,26.3,Africa
Ukraine,0.1,1.1,1.4,2.3,2.8,5.7,9.8,20.0,38.2,18.7,Europe
United Arab Emirates,0.3,6.4,11.9,7.6,6.4,5.2,12.9,20.7,19.5,9.2,Eastern Mediterranean
United Kingdom,1.4,7.8,5.5,2.0,0.0,1.8,6.3,29.8,33.0,12.9,Europe
Uruguay,3.3,3.0,1.8,1.1,3.3,3.3,4.5,10.7,27.3,41.6,Americas
Uzbekistan,0.2,2.5,2.1,6.5,20.6,23.8,19.7,13.6,8.2,2.7,Europe
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Western Pacific
Venezuela,0.1,0.2,1.1,4.0,11.8,26.0,26.3,15.6,9.6,5.3,Americas
Vietnam,14.0,4.1,4.1,1.9,14.5,34.7,3.6,6.1,11.9,3.9,Western Pacific
West Bank and Gaza,0.0,0.2,0.1,1.8,8.5,9.8,15.5,12.3,28.9,22.9,Eastern Mediterranean
Yemen,0.0,0.2,13.3,35.0,23.9,9.7,3.2,1.2,5.4,0.0,Eastern Mediterranean
Zambia,0.2,0.4,5.2,2.9,23.8,33.5,14.5,9.1,6.6,3.7,Africa
Zimbabwe,0.1,0.3,1.2,3.6,22.7,29.3,11.8,4.7,13.9,12.4,Africa
