Country/Region,Date,Confirmed,Active,Recovered,Deaths,Latitude,Longitude
Thailand,2020-02-04,6.0,6.0,0.0,0.0,16.0,101.0
Sri Lanka,2020-02-04,0.0,0.0,0.0,0.0,8.0,81.0
Hong Kong,2020-02-04,2.0,1.0,0.0,1.0,0.0,0.0
Finland,2020-02-04,0.0,0.0,0.0,0.0,62.0,26.0
United Kingdom,2020-02-04,0.0,0.0,0.0,0.0,55.0,0.0
Singapore,2020-02-04,6.0,6.0,0.0,0.0,1.0,104.0
Russia,2020-02-04,0.0,0.0,0.0,0.0,60.0,90.0
Taiwan,2020-02-04,1.0,1.0,0.0,0.0,24.0,121.0
Finland,2020-02-05,0.0,0.0,0.0,0.0,62.0,26.0
Australia,2020-02-05,0.0,0.0,0.0,0.0,-25.0,133.0
Spain,2020-02-05,0.0,0.0,0.0,0.0,40.0,-4.0
Belgium,2020-02-05,0.0,0.0,0.0,0.0,51.0,5.0
Canada,2020-02-05,1.0,1.0,0.0,0.0,60.0,-110.0
Vietnam,2020-02-05,0.0,0.0,0.0,0.0,14.0,108.0
Germany,2020-02-05,0.0,0.0,0.0,0.0,51.0,9.0
Russia,2020-02-05,0.0,0.0,0.0,0.0,60.0,90.0
India,2020-02-05,0.0,0.0,0.0,0.0,21.0,78.0
Philippines,2020-02-05,0.0,0.0,0.0,0.0,13.0,122.0
Malaysia,2020-02-05,2.0,2.0,0.0,0.0,4.0,102.0
Japan,2020-02-05,0.0,0.0,0.0,0.0,36.0,138.0
United Kingdom,2020-02-05,0.0,0.0,0.0,0.0,55.0,0.0
China,2020-02-05,3729.0,3385.0,272.0,72.0,35.0,103.0
Singapore,2020-02-05,4.0,4.0,0.0,0.0,1.0,104.0
United Arab Emirates,2020-02-05,0.0,0.0,0.0,0.0,23.0,54.0
Thailand,2020-02-05,0.0,0.0,0.0,0.0,16.0,101.0
Taiwan,2020-02-05,0.0,0.0,0.0,0.0,24.0,121.0
France,2020-02-05,0.0,0.0,0.0,0.0,47.0,2.0
Cambodia,2020-02-05,0.0,0.0,0.0,0.0,12.0,105.0
Nepal,2020-02-05,0.0,0.0,0.0,0.0,28.0,84.0
US,2020-02-05,1.0,1.0,0.0,0.0,40.0,-90.0
Sri Lanka,2020-02-05,0.0,0.0,0.0,0.0,8.0,81.0
Sweden,2020-02-05,0.0,0.0,0.0,0.0,63.0,16.0
South Korea,2020-02-05,3.0,3.0,0.0,0.0,36.0,128.0
Italy,2020-02-05,0.0,0.0,0.0,0.0,43.0,12.0
Hong Kong,2020-02-05,4.0,4.0,0.0,0.0,0.0,0.0
China,2020-02-06,3144.0,2712.0,362.0,70.0,35.0,103.0
Russia,2020-02-06,0.0,0.0,0.0,0.0,60.0,90.0
Spain,2020-02-06,0.0,0.0,0.0,0.0,40.0,-4.0
Italy,2020-02-06,0.0,0.0,0.0,0.0,43.0,12.0
Taiwan,2020-02-06,5.0,4.0,1.0,0.0,24.0,121.0
Nepal,2020-02-06,0.0,0.0,0.0,0.0,28.0,84.0
